YEAR,STATEFIP,COUNTYFIP,WFH,AGE,INCWAGE,EDUCS
2022,51,107,0,19,4000,2
2022,51,107,1,21,12500,2
2022,51,107,0,20,3000,2
2022,51,107,0,19,4000,2
2022,51,107,0,21,6700,2
2022,51,107,0,19,1500,2
2022,51,107,1,21,12500,2
2022,51,107,0,33,3800,1
2022,51,107,1,21,7000,2
2022,51,107,0,54,14000,1
2022,51,107,0,20,1700,2
2022,51,107,0,19,11700,2
2022,51,107,1,50,95000,2
2022,51,107,0,61,80000,4
2022,51,107,0,67,86000,1
2022,51,107,0,45,143000,3
2022,51,107,0,50,187000,3
2022,51,107,0,49,31000,2
2022,51,107,1,49,190000,2
2022,51,107,0,46,195000,3
2022,51,107,1,54,173000,3
2022,51,107,0,42,132000,4
2022,51,107,0,38,211000,4
2022,51,107,0,38,70000,3
2022,51,107,0,37,82000,2
2022,51,107,1,64,114000,3
2022,51,107,0,52,15000,3
2022,51,107,0,35,110000,2
2022,51,107,1,33,50000,4
2022,51,107,0,23,51000,3
2022,51,107,0,43,50000,4
2022,51,107,1,45,250000,3
2022,51,107,0,57,80000,2
2022,51,107,0,58,12000,1
2022,51,107,0,52,68000,1
2022,51,107,0,54,210000,4
2022,51,107,0,41,60000,4
2022,51,107,0,39,23000,1
2022,51,107,0,50,155000,3
2022,51,107,0,40,200000,4
2022,51,107,1,40,30000,3
2022,51,107,1,28,198000,3
2022,51,107,0,29,110000,4
2022,51,107,1,32,92000,4
2022,51,107,1,28,60000,4
2022,51,107,1,56,157000,3
2022,51,107,0,29,68000,4
2022,51,107,0,54,50000,2
2022,51,107,0,19,25000,1
2022,51,107,0,40,80000,2
2022,51,107,1,54,100000,3
2022,51,107,1,53,85000,2
2022,51,107,0,22,45000,1
2022,51,107,0,55,75000,3
2022,51,107,0,45,100000,1
2022,51,107,0,59,5800,2
2022,51,107,0,38,113000,3
2022,51,107,1,44,185000,3
2022,51,107,0,36,135000,3
2022,51,107,0,35,90000,3
2022,51,107,1,45,131000,4
2022,51,107,0,50,100000,4
2022,51,107,1,49,50000,3
2022,51,107,0,18,10000,1
2022,51,107,0,30,140000,3
2022,51,107,1,33,55000,2
2022,51,107,0,27,10000,2
2022,51,107,0,38,20000,1
2022,51,107,0,57,119000,3
2022,51,107,1,57,90000,3
2022,51,107,0,24,55000,3
2022,51,107,0,21,45000,1
2022,51,107,0,39,95000,3
2022,51,107,0,38,107000,3
2022,51,107,0,26,47000,4
2022,51,107,1,64,125000,1
2022,51,107,1,63,1800,1
2022,51,107,0,51,120000,1
2022,51,107,0,35,83000,2
2022,51,107,0,30,70000,1
2022,51,107,1,33,100000,3
2022,51,107,0,33,30000,2
2022,51,107,1,48,190000,4
2022,51,107,0,39,315000,4
2022,51,107,0,47,89000,3
2022,51,107,0,36,67000,4
2022,51,107,0,60,45000,2
2022,51,107,1,73,5000,2
2022,51,107,0,58,160000,4
2022,51,107,1,52,90000,3
2022,51,107,0,21,12000,2
2022,51,107,0,62,160000,2
2022,51,107,0,35,150000,3
2022,51,107,0,31,115000,3
2022,51,107,1,52,50000,2
2022,51,107,0,55,160000,2
2022,51,107,1,44,150000,2
2022,51,107,1,46,30100,1
2022,51,107,0,58,95000,3
2022,51,107,1,58,150000,3
2022,51,107,1,32,100000,4
2022,51,107,1,34,50000,3
2022,51,107,0,42,150000,3
2022,51,107,0,49,150000,2
2022,51,107,0,65,190000,3
2022,51,107,0,36,135000,4
2022,51,107,1,48,180000,4
2022,51,107,1,39,60000,4
2022,51,107,0,50,350000,3
2022,51,107,0,58,93000,2
2022,51,107,0,28,6300,1
2022,51,107,0,62,40000,3
2022,51,107,0,61,35000,3
2022,51,107,0,66,36400,2
2022,51,107,0,41,75000,1
2022,51,107,0,37,50000,1
2022,51,107,0,30,45400,1
2022,51,107,0,21,9000,1
2022,51,107,0,39,87000,3
2022,51,107,0,40,138000,2
2022,51,107,1,69,47000,4
2022,51,107,1,49,16000,4
2022,51,107,1,58,210000,3
2022,51,107,0,25,24000,2
2022,51,107,0,38,350000,3
2022,51,107,1,64,130000,4
2022,51,107,1,28,60000,3
2022,51,107,0,58,89000,4
2022,51,107,1,63,75000,3
2022,51,107,0,65,0,4
2022,51,107,1,48,200000,3
2022,51,107,0,47,200000,3
2022,51,107,1,42,226000,3
2022,51,107,0,39,26100,4
2022,51,107,1,58,350000,3
2022,51,107,1,40,35000,2
2022,51,107,0,37,45000,3
2022,51,107,0,28,97000,3
2022,51,107,0,28,120000,3
2022,51,107,0,41,280000,4
2022,51,107,0,60,143000,4
2022,51,107,0,61,155000,4
2022,51,107,1,59,145000,4
2022,51,107,1,52,100000,4
2022,51,107,0,28,72000,4
2022,51,107,1,31,90000,3
2022,51,107,0,31,70000,3
2022,51,107,0,44,62000,1
2022,51,107,0,39,55000,3
2022,51,107,1,32,130000,3
