YEAR,STATEFIP,COUNTYFIP,VEHICLES,HHINCOME,NFAMS,FAMSIZE,UNITSTR,VEHICLES,NFAMS
2022,34,23,6,0,1,1,8,6,1
2022,34,17,6,15400,1,2,8,6,1
2022,34,17,6,15400,1,2,8,6,1
2022,34,25,5,398700,1,1,8,5,1
2022,34,23,4,4230,1,4,8,4,1
2022,34,23,4,4230,1,4,8,4,1
2022,34,23,4,4230,1,4,8,4,1
2022,34,23,4,4230,1,4,8,4,1
2022,34,27,4,105900,1,3,8,4,1
2022,34,27,4,105900,1,3,8,4,1
2022,34,27,4,105900,1,3,8,4,1
2022,34,25,4,186700,1,4,8,4,1
2022,34,25,4,186700,1,4,8,4,1
2022,34,25,4,186700,1,4,8,4,1
2022,34,25,4,186700,1,4,8,4,1
2022,34,17,3,545000,3,1,8,3,3
2022,34,17,3,545000,3,1,8,3,3
2022,34,17,3,545000,3,1,8,3,3
2022,34,31,3,123000,2,2,8,3,2
2022,34,31,3,123000,2,2,8,3,2
2022,34,31,3,123000,2,1,8,3,2
2022,34,7,3,124700,1,3,8,3,1
2022,34,7,3,124700,1,3,8,3,1
2022,34,7,3,124700,1,3,8,3,1
2022,34,21,3,220000,1,4,8,3,1
2022,34,21,3,220000,1,4,8,3,1
2022,34,21,3,220000,1,4,8,3,1
2022,34,21,3,220000,1,4,8,3,1
2022,34,35,3,70500,1,2,8,3,1
2022,34,35,3,70500,1,2,8,3,1
2022,34,17,3,250200,1,2,8,3,1
2022,34,17,3,250200,1,2,8,3,1
2022,34,3,3,360000,1,4,8,3,1
2022,34,3,3,360000,1,4,8,3,1
2022,34,3,3,360000,1,4,8,3,1
2022,34,3,3,360000,1,4,8,3,1
2022,34,39,3,84400,1,2,8,3,1
2022,34,39,3,84400,1,2,8,3,1
2022,34,39,3,64000,1,4,8,3,1
2022,34,39,3,64000,1,4,8,3,1
2022,34,39,3,64000,1,4,8,3,1
2022,34,39,3,64000,1,4,8,3,1
2022,34,13,3,74600,1,4,8,3,1
2022,34,13,3,74600,1,4,8,3,1
2022,34,13,3,74600,1,4,8,3,1
2022,34,13,3,74600,1,4,8,3,1
2022,34,23,3,200000,1,3,8,3,1
2022,34,23,3,200000,1,3,8,3,1
2022,34,23,3,200000,1,3,8,3,1
2022,34,29,3,82000,1,3,8,3,1
2022,34,29,3,82000,1,3,8,3,1
2022,34,29,3,82000,1,3,8,3,1
2022,34,3,3,69000,1,4,8,3,1
2022,34,3,3,69000,1,4,8,3,1
2022,34,3,3,69000,1,4,8,3,1
2022,34,3,3,69000,1,4,8,3,1
2022,34,3,3,385400,1,3,8,3,1
2022,34,3,3,385400,1,3,8,3,1
2022,34,3,3,385400,1,3,8,3,1
2022,34,3,3,106000,1,3,8,3,1
2022,34,3,3,106000,1,3,8,3,1
2022,34,3,3,106000,1,3,8,3,1
2022,34,3,3,50000,1,1,8,3,1
2022,34,0,3,221000,1,2,8,3,1
2022,34,0,3,221000,1,2,8,3,1
2022,34,39,3,163000,1,3,8,3,1
2022,34,39,3,163000,1,3,8,3,1
2022,34,39,3,163000,1,3,8,3,1
2022,34,17,3,47600,1,6,8,3,1
2022,34,17,3,47600,1,6,8,3,1
2022,34,17,3,47600,1,6,8,3,1
2022,34,17,3,47600,1,6,8,3,1
2022,34,17,3,47600,1,6,8,3,1
2022,34,17,3,47600,1,6,8,3,1
