CLASS_NUM,CLASS_STR,LANES,LANES_WID,MEDIAN_WID,SHLD_TOT
1,Arterial,6,12,50,14
1,Arterial,6,12,50,14
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,16
1,Arterial,4,12,48,15
1,Arterial,4,12,48,15
1,Arterial,4,12,48,14
1,Arterial,4,12,48,14
1,Arterial,4,12,48,14
1,Arterial,4,12,48,14
1,Arterial,4,12,48,14
1,Arterial,4,12,48,14
1,Arterial,4,12,48,14
1,Arterial,4,12,48,14
1,Arterial,4,15,48,12
1,Arterial,4,15,48,14
1,Arterial,4,15,48,14
1,Arterial,4,18,48,12
1,Arterial,8,9,42,16
1,Arterial,6,12,42,20
1,Arterial,6,12,42,20
1,Arterial,6,12,42,20
1,Arterial,7,12,42,20
1,Arterial,8,12,42,14
1,Arterial,8,12,42,20
1,Arterial,8,12,42,14
1,Arterial,8,12,42,20
1,Arterial,8,12,42,20
1,Arterial,8,12,42,20
1,Arterial,8,12,42,20
1,Arterial,8,12,42,20
1,Arterial,8,12,42,20
1,Arterial,6,10,40,0
1,Arterial,8,10.5,40,20
1,Arterial,8,10.5,40,20
1,Arterial,8,10.5,40,20
1,Arterial,8,10.5,40,20
1,Arterial,8,10.5,40,20
1,Arterial,5,12,40,14
1,Arterial,5,12,40,14
1,Arterial,6,12,40,24
1,Arterial,6,12,40,20
1,Arterial,6,12,40,0
1,Arterial,6,12,40,20
1,Arterial,6,12,40,20
1,Arterial,6,12,40,20
1,Arterial,6,12,40,20
1,Arterial,6,12,40,20
1,Arterial,6,12,40,20
1,Arterial,6,12,40,20
1,Arterial,7,12,40,20
1,Arterial,8,12,40,22
1,Arterial,6,14,40,0
1,Arterial,4,15,40,0
1,Arterial,4,15,40,0
1,Arterial,6,16,40,0
1,Arterial,6,16,40,0
1,Arterial,10,6,36,27
1,Arterial,10,6,36,27
1,Arterial,5,9.6,36,24
1,Arterial,4,12,36,24
1,Arterial,5,12,36,22
1,Arterial,5,12,36,24
1,Arterial,5,12,36,27
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,6,12,36,24
1,Arterial,5,14.4,36,24
1,Arterial,5,14.4,36,20
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,18,36,24
1,Arterial,4,12,34,0
1,Arterial,4,12,34,0
1,Arterial,4,12,34,0
1,Arterial,4,12,34,0
1,Arterial,6,12,34,20
1,Arterial,4,12,32,24
1,Arterial,5,12,32,24
1,Arterial,4,12,30,18
1,Arterial,4,12,30,18
1,Arterial,4,12,30,0
1,Arterial,4,12,30,0
1,Arterial,4,12,30,0
1,Arterial,4,12,30,0
1,Arterial,6,12,30,20
1,Arterial,6,12,30,20
1,Arterial,6,12,30,20
1,Arterial,6,12,30,20
1,Arterial,6,12,30,20
1,Arterial,6,12,30,20
1,Arterial,4,18,30,12
1,Arterial,4,18,30,12
1,Arterial,4,12,28,0
1,Arterial,4,12,28,0
1,Arterial,4,12,28,0
1,Arterial,4,18.25,27,11
1,Arterial,4,18.25,27,11
1,Arterial,4,18.25,27,11
1,Arterial,4,18.25,27,11
1,Arterial,8,10.5,26,22
1,Arterial,8,10.5,26,22
1,Arterial,8,10.5,26,22
1,Arterial,8,10.5,26,22
1,Arterial,8,10.5,26,22
1,Arterial,4,12,26,20
1,Arterial,4,12,26,12
1,Arterial,4,12,26,12
1,Arterial,4,12,26,12
1,Arterial,4,12,24,0
1,Arterial,4,12,24,0
1,Arterial,4,12,24,0
1,Arterial,4,12.5,24,0
1,Arterial,4,12.5,24,0
1,Arterial,4,12.5,24,0
1,Arterial,4,12.5,24,0
1,Arterial,4,12.5,24,0
1,Arterial,4,12.5,24,10
1,Arterial,4,12,22,10
1,Arterial,4,12,22,10
1,Arterial,4,12,22,10
1,Arterial,4,12,22,10
1,Arterial,4,12,22,10
1,Arterial,4,12,22,10
1,Arterial,4,12,22,10
1,Arterial,4,12,22,24
1,Arterial,4,12,22,24
1,Arterial,4,12,22,24
1,Arterial,4,12,22,24
1,Arterial,4,12,22,24
1,Arterial,4,12,22,24
1,Arterial,6,12,22,20
1,Arterial,6,12,22,20
1,Arterial,6,12,22,20
1,Arterial,6,12,22,20
1,Arterial,6,12,22,20
1,Arterial,3,13.33333333,22,24
1,Arterial,4,17.5,22,10
1,Arterial,4,17.5,22,10
1,Arterial,4,17.5,22,10
1,Arterial,4,7,20,0
1,Arterial,2,10,20,0
1,Arterial,2,10,20,0
1,Arterial,4,10,20,0
1,Arterial,4,10,20,0
1,Arterial,4,11,20,0
1,Arterial,4,11.75,20,0
1,Arterial,4,12,20,0
1,Arterial,4,12,20,0
1,Arterial,4,12,20,0
1,Arterial,4,12,20,10
1,Arterial,4,12,20,10
1,Arterial,4,12,20,10
1,Arterial,4,12,20,22
1,Arterial,4,12,20,22
1,Arterial,4,12,20,22
1,Arterial,4,12,20,10
1,Arterial,4,12,20,10
1,Arterial,4,12,20,10
1,Arterial,4,12,20,0
1,Arterial,4,12,20,0
1,Arterial,4,12,20,0
1,Arterial,4,12,20,0
1,Arterial,4,12,20,0
1,Arterial,4,12,20,0
1,Arterial,4,12,20,0
1,Arterial,4,12,20,0
1,Arterial,4,13.25,20,0
1,Arterial,4,13.5,20,0
1,Arterial,4,13.5,20,0
1,Arterial,4,13.5,20,0
1,Arterial,4,13.5,20,0
1,Arterial,4,13.5,20,0
1,Arterial,4,13.5,20,0
1,Arterial,4,13.5,20,0
1,Arterial,4,15,20,0
1,Arterial,4,15,20,0
1,Arterial,4,15,20,0
1,Arterial,4,15,20,0
1,Arterial,4,15.5,20,0
1,Arterial,4,16.25,20,0
1,Arterial,4,16.25,20,0
1,Arterial,4,16.25,20,0
1,Arterial,4,16.25,20,0
1,Arterial,4,16.25,20,0
1,Arterial,4,16.25,20,0
1,Arterial,4,18,20,14
1,Arterial,2,28,20,0
0,Non-arterial,4,11,20,0
0,Non-arterial,4,11,20,0
0,Non-arterial,2,12,20,0
0,Non-arterial,2,12,20,0
0,Non-arterial,2,12,20,0
0,Non-arterial,4,13.5,20,0
0,Non-arterial,4,13.5,20,0
0,Non-arterial,4,13.5,20,0
1,Arterial,4,10,18,0
1,Arterial,4,12,18,0
1,Arterial,4,12.5,18,10
1,Arterial,4,12.5,18,10
1,Arterial,4,12.5,18,10
1,Arterial,4,13,18,0
1,Arterial,4,13.5,18,0
1,Arterial,4,13.5,18,0
0,Non-arterial,4,12,18,0
1,Arterial,4,12,17,6
1,Arterial,4,12,17,8
1,Arterial,4,17,17,12
1,Arterial,4,12,16,0
1,Arterial,6,12.33333333,16,0
1,Arterial,4,13,16,6
1,Arterial,5,14.4,16,0
1,Arterial,6,15.33333333,16,0
1,Arterial,6,15.33333333,16,0
1,Arterial,2,16,16,0
1,Arterial,2,16,16,0
1,Arterial,2,16,16,8
1,Arterial,2,16,16,8
1,Arterial,4,16,16,0
1,Arterial,4,18,16,0
0,Non-arterial,4,12,16,0
0,Non-arterial,2,16,16,0
1,Arterial,4,12,15,12
1,Arterial,4,12,15,12
1,Arterial,4,12,15,12
1,Arterial,4,12,15,1
1,Arterial,4,12,15,1
1,Arterial,4,12,15,1
1,Arterial,4,12,15,0
1,Arterial,4,12,15,0
1,Arterial,4,14,15,0
1,Arterial,2,15,15,0
1,Arterial,2,15,15,0
1,Arterial,2,15,15,0
1,Arterial,2,15,15,0
1,Arterial,4,16,15,0
0,Non-arterial,2,10,15,0
0,Non-arterial,4,12.5,15,0
0,Non-arterial,4,12.5,15,0
0,Non-arterial,2,15,15,0
0,Non-arterial,2,15,15,0
0,Non-arterial,2,15,15,0
0,Non-arterial,2,15,15,0
1,Arterial,4,6,14,0
1,Arterial,4,8.5,14,0
1,Arterial,4,8.5,14,0
1,Arterial,4,8.5,14,0
1,Arterial,4,8.5,14,0
1,Arterial,4,12,14,0
1,Arterial,4,12,14,0
1,Arterial,4,12,14,0
1,Arterial,4,12,14,0
1,Arterial,4,12,14,0
1,Arterial,4,12,14,0
1,Arterial,4,12,14,0
1,Arterial,4,12,14,0
1,Arterial,4,12,14,0
1,Arterial,4,12,14,8
1,Arterial,4,12,14,8
1,Arterial,4,12,14,0
1,Arterial,4,12,12,0
1,Arterial,4,12,12,0
1,Arterial,4,12,12,0
1,Arterial,4,12,12,0
1,Arterial,4,12,12,24
1,Arterial,4,12,12,24
1,Arterial,4,12,12,24
1,Arterial,4,12,12,24
1,Arterial,4,12,12,24
1,Arterial,6,12,12,0
1,Arterial,6,12,12,24
1,Arterial,6,12,12,24
1,Arterial,6,12,12,24
1,Arterial,7,12,12,24
1,Arterial,8,12,12,24
1,Arterial,4,13,12,0
1,Arterial,4,13,12,0
1,Arterial,5,14.4,12,0
1,Arterial,4,15,12,0
1,Arterial,4,17,12,0
1,Arterial,4,18,12,0
1,Arterial,4,18,12,0
1,Arterial,5,19.8,12,0
1,Arterial,4,24.75,12,0
1,Arterial,4,24.75,12,0
1,Arterial,4,24.75,12,0
1,Arterial,2,10,10,0
1,Arterial,2,11,10,0
1,Arterial,4,11.5,10,22
1,Arterial,2,12,10,0
1,Arterial,2,12,10,0
1,Arterial,2,12,10,0
1,Arterial,2,12,10,0
1,Arterial,2,12,10,0
1,Arterial,2,12,10,0
1,Arterial,4,12,10,0
1,Arterial,4,12,10,0
1,Arterial,4,12,10,0
1,Arterial,4,12,10,0
1,Arterial,4,12,10,0
1,Arterial,4,12,10,0
1,Arterial,4,12,10,0
1,Arterial,4,12,10,0
1,Arterial,5,12,10,0
1,Arterial,5,12,10,0
1,Arterial,5,12,10,0
1,Arterial,5,12,10,0
1,Arterial,5,12,10,0
1,Arterial,4,12.5,10,0
1,Arterial,4,12.5,10,0
1,Arterial,4,12.5,10,0
1,Arterial,4,12.5,10,0
1,Arterial,4,13,10,0
1,Arterial,4,13.5,10,0
1,Arterial,4,13.5,10,0
1,Arterial,4,15,10,0
1,Arterial,4,16.25,10,0
1,Arterial,4,16.25,10,0
1,Arterial,4,16.25,10,0
1,Arterial,4,17.5,10,0
1,Arterial,4,19,10,0
0,Non-arterial,2,12,10,4
0,Non-arterial,2,12,10,4
0,Non-arterial,4,15,10,0
1,Arterial,5,13.2,9,0
1,Arterial,5,13.2,9,0
1,Arterial,4,12,8,12
1,Arterial,4,12,8,12
1,Arterial,4,12,8,12
1,Arterial,4,12,8,0
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,4,12,8,4
1,Arterial,6,14.66666667,8,0
1,Arterial,6,14.66666667,8,0
1,Arterial,2,15,8,0
1,Arterial,2,15,8,0
1,Arterial,4,15,8,0
1,Arterial,4,15,8,0
1,Arterial,4,15,8,0
0,Non-arterial,2,15,8,0
1,Arterial,4,17,7,8
1,Arterial,4,12,6,14
1,Arterial,4,12,6,14
1,Arterial,6,12,6,20
1,Arterial,8,12,6,20
1,Arterial,8,12,6,20
1,Arterial,4,16,6,0
1,Arterial,10,4.8,5,27
1,Arterial,10,4.8,5,27
1,Arterial,10,4.8,5,27
1,Arterial,4,12,5,3
1,Arterial,4,12,5,0
1,Arterial,4,12,5,3
1,Arterial,4,12,5,3
1,Arterial,4,12,5,18
1,Arterial,7,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,27
1,Arterial,8,12,5,27
1,Arterial,8,12,5,27
1,Arterial,8,12,5,20
1,Arterial,8,12,5,22
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,22
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,8,12,5,20
1,Arterial,9,12,5,20
1,Arterial,7,13.71428571,5,20
1,Arterial,7,13.71428571,5,22
1,Arterial,4,18,5,0
1,Arterial,4,18.5,5,10
1,Arterial,4,18.5,5,10
1,Arterial,4,7,4,0
1,Arterial,8,9,4,28
1,Arterial,8,9,4,28
1,Arterial,7,10.28571429,4,24
1,Arterial,3,12,4,24
1,Arterial,3,12,4,0
1,Arterial,3,12,4,0
1,Arterial,4,12,4,10
1,Arterial,4,12,4,8
1,Arterial,4,12,4,22
1,Arterial,4,12,4,22
1,Arterial,4,12,4,22
1,Arterial,4,12,4,24
1,Arterial,4,12,4,0
1,Arterial,4,12,4,0
1,Arterial,4,12,4,0
